step,avg_return
0,-500.0
49984,-500.0
99968,-500.0
149952,-500.0
199936,-500.0
249920,-500.0
299904,-500.0
349888,-500.0
399872,-500.0
449856,-500.0
499840,-500.0
549824,-500.0
599808,-500.0
649792,-500.0
699776,-500.0
749760,-500.0
799744,-500.0
849728,-500.0
899712,-500.0
949696,-500.0
999680,-500.0
1049664,-500.0
1099648,-500.0
1149632,-500.0
1199616,-500.0
1249600,-500.0
1299584,-500.0
1349568,-500.0
1399552,-500.0
1449536,-500.0
1499520,-500.0
1549504,-500.0
1599488,-500.0
1649472,-500.0
1699456,-500.0
1749440,-500.0
1799424,-500.0
1849408,-500.0
1899392,-500.0
1949376,-500.0
1999360,-500.0
2049344,-500.0
2099328,-500.0
2149312,-500.0
2199296,-500.0
2249280,-500.0
2299264,-500.0
2349248,-500.0
2399232,-500.0
2449216,-500.0
2499200,-500.0
2549184,-500.0
2599168,-500.0
2649152,-500.0
2699136,-500.0
2749120,-500.0
2799104,-500.0
2849088,-500.0
2899072,-500.0
2949056,-500.0
2999040,-500.0
