step,avg_return
0,-1155.7982097590188
50000,-1197.1865152733194
100000,-1316.950881702134
150000,-1426.6391606293357
200000,-1389.4310547921093
250000,-1287.377046561723
300000,-1344.8675527692599
350000,-1396.7333117241233
400000,-1277.5124154761716
450000,-1533.4680661045181
500000,-1235.941817626004
550000,-1130.472300609212
600000,-1205.794506543494
650000,-1109.9377875998052
700000,-1282.1448263273917
750000,-1209.4845958530536
800000,-1148.939724602183
850000,-1180.1687555576332
900000,-1148.5030779669983
950000,-1115.5069634169015
1000000,-1229.1227335570152
