step,avg_return
0,-1155.7982097590188
50000,-1160.7144073565526
100000,-1317.473689604738
150000,-1364.580359520192
200000,-1274.4824999524735
250000,-1144.872139935077
300000,-1198.1750068927968
350000,-1188.3455296940497
400000,-1115.1630233101992
450000,-1436.1607180185877
500000,-1227.637597401102
550000,-1169.5747504078702
600000,-1297.708998949298
650000,-1212.4387031177382
700000,-1336.584339571738
750000,-1218.1548351348245
800000,-1181.9295404383247
850000,-1241.0729037018662
900000,-1138.2459711639156
950000,-1117.1644907409886
1000000,-1262.7486204115764
