step,avg_return
0,-1155.7982097590188
50000,-1028.4245815953095
100000,-1080.333509837064
150000,-949.3318985428739
200000,-640.3912580899208
250000,-269.57472382650053
300000,-221.49708944673233
350000,-292.7556647377189
400000,-207.40203714640037
450000,-377.67483785500804
500000,-231.59501990351995
550000,-247.7902333989451
600000,-277.67846355080474
650000,-255.4541548021637
700000,-350.1654124086898
750000,-284.17209020737033
800000,-255.56063163621448
850000,-272.38329303308956
900000,-205.92215204561361
950000,-244.56593608113468
1000000,-326.46122588550224
