step,avg_return
0,-1155.7982097590188
50000,-908.9067042244484
100000,-489.8096324600736
150000,-317.23809139028253
200000,-276.00827663846087
250000,-220.49462548857204
300000,-220.96172538837286
350000,-244.8726801424619
400000,-197.91389570929192
450000,-344.07735859433217
500000,-220.74816962399214
550000,-225.1807679041753
600000,-279.8010427873372
650000,-256.3991222091106
700000,-353.06738189685564
750000,-291.0283037067046
800000,-258.2096510429143
850000,-278.24323927791704
900000,-205.89679428491212
950000,-231.91670139543947
1000000,-311.4664162905647
